,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,38.45437904135416,Verhulst2018,Verhulst2018,40.0,40.0,20.0,1.5505669492467236,none
1,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,48.45437904135416,Verhulst2018,Verhulst2018,40.0,40.0,30.0,1.7759627394760729,none
2,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,58.45437904135416,Verhulst2018,Verhulst2018,40.0,40.0,40.0,1.962200145116342,none
3,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,39.549414333485345,Verhulst2018,Verhulst2018,40.0,40.0,20.0,1.812399522409885,none
4,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,49.549414333485345,Verhulst2018,Verhulst2018,40.0,40.0,30.0,2.13076132856309,none
5,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,59.549414333485345,Verhulst2018,Verhulst2018,40.0,40.0,40.0,2.2656123912571347,none
6,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,40.30829854438498,Verhulst2018,Verhulst2018,40.0,40.0,20.0,2.255360410795719,none
7,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,50.30829854438498,Verhulst2018,Verhulst2018,40.0,40.0,30.0,2.223202507960023,none
8,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,60.30829854438498,Verhulst2018,Verhulst2018,40.0,40.0,40.0,2.6691046277337165,none
9,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,40.64805952851363,Verhulst2018,Verhulst2018,40.0,40.0,20.0,2.5798452837888393,none
10,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,50.64805952851363,Verhulst2018,Verhulst2018,40.0,40.0,30.0,2.536463393328958,none
11,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,60.64805952851363,Verhulst2018,Verhulst2018,40.0,40.0,40.0,3.2318131758656388,none
12,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,200000.0,41.29392092651331,Verhulst2018,Verhulst2018,40.0,40.0,20.0,3.0361232449736337,none
13,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,200000.0,51.29392092651331,Verhulst2018,Verhulst2018,40.0,40.0,30.0,2.5256964933269574,none
14,[0.],3162.8106403712163,1054.270213457072,RP,[0.001],0.1,0.01,2108.540426914144,200000.0,61.29392092651331,Verhulst2018,Verhulst2018,40.0,40.0,40.0,2.985337331970684,none
15,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,200000.0,42.29588910490317,Verhulst2018,Verhulst2018,40.0,40.0,20.0,3.061611327286064,none
16,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,200000.0,52.29588910490317,Verhulst2018,Verhulst2018,40.0,40.0,30.0,3.285735443035998,none
17,[0.],3495.478777061525,1165.1595923538416,RP,[0.001],0.1,0.01,2330.3191847076832,200000.0,62.29588910490317,Verhulst2018,Verhulst2018,40.0,40.0,40.0,3.3688339408963,none
18,[0.],3863.137338963008,1287.7124463210027,RP,[0.001],0.1,0.01,2575.4248926420055,200000.0,43.07653642986928,Verhulst2018,Verhulst2018,40.0,40.0,20.0,3.783716339167735,none
19,[0.],3863.137338963008,1287.7124463210027,RP,[0.001],0.1,0.01,2575.4248926420055,200000.0,53.07653642986928,Verhulst2018,Verhulst2018,40.0,40.0,30.0,2.943613729246424,none
20,[0.],3863.137338963008,1287.7124463210027,RP,[0.001],0.1,0.01,2575.4248926420055,200000.0,63.07653642986928,Verhulst2018,Verhulst2018,40.0,40.0,40.0,4.16515251102484,none
21,[0.],4269.466660082513,1423.1555533608378,RP,[0.001],0.1,0.01,2846.3111067216755,200000.0,43.64714625750077,Verhulst2018,Verhulst2018,40.0,40.0,20.0,3.891912754875135,none
22,[0.],4269.466660082513,1423.1555533608378,RP,[0.001],0.1,0.01,2846.3111067216755,200000.0,53.64714625750077,Verhulst2018,Verhulst2018,40.0,40.0,30.0,4.050121306815447,none
23,[0.],4269.466660082513,1423.1555533608378,RP,[0.001],0.1,0.01,2846.3111067216755,200000.0,63.64714625750077,Verhulst2018,Verhulst2018,40.0,40.0,40.0,3.9293650645912868,none
24,[0.],4718.534176278918,1572.8447254263058,RP,[0.001],0.1,0.01,3145.6894508526116,200000.0,44.43235206689291,Verhulst2018,Verhulst2018,40.0,40.0,20.0,4.55080491796221,none
25,[0.],4718.534176278918,1572.8447254263058,RP,[0.001],0.1,0.01,3145.6894508526116,200000.0,54.43235206689291,Verhulst2018,Verhulst2018,40.0,40.0,30.0,4.491455767662231,none
26,[0.],4718.534176278918,1572.8447254263058,RP,[0.001],0.1,0.01,3145.6894508526116,200000.0,64.43235206689292,Verhulst2018,Verhulst2018,40.0,40.0,40.0,4.316560287381224,none
27,[0.],5214.835141090398,1738.2783803634659,RP,[0.001],0.1,0.01,3476.5567607269318,200000.0,45.36372321112161,Verhulst2018,Verhulst2018,40.0,40.0,20.0,5.089250177854344,none
28,[0.],5214.835141090398,1738.2783803634659,RP,[0.001],0.1,0.01,3476.5567607269318,200000.0,55.36372321112161,Verhulst2018,Verhulst2018,40.0,40.0,30.0,4.462465379216606,none
29,[0.],5214.835141090398,1738.2783803634659,RP,[0.001],0.1,0.01,3476.5567607269318,200000.0,65.36372321112161,Verhulst2018,Verhulst2018,40.0,40.0,40.0,5.298235195350627,none
30,[0.],5763.337624100281,1921.11254136676,RP,[0.001],0.1,0.01,3842.22508273352,200000.0,46.11873829754835,Verhulst2018,Verhulst2018,40.0,40.0,20.0,6.083866620120734,none
31,[0.],5763.337624100281,1921.11254136676,RP,[0.001],0.1,0.01,3842.22508273352,200000.0,56.11873829754835,Verhulst2018,Verhulst2018,40.0,40.0,30.0,4.774051503314509,none
32,[0.],5763.337624100281,1921.11254136676,RP,[0.001],0.1,0.01,3842.22508273352,200000.0,66.11873829754835,Verhulst2018,Verhulst2018,40.0,40.0,40.0,5.7871505450115315,none
33,[0.],6369.5322422838035,2123.1774140946013,RP,[0.001],0.1,0.01,4246.354828189203,200000.0,46.77914891738223,Verhulst2018,Verhulst2018,40.0,40.0,20.0,6.96502533738219,none
34,[0.],6369.5322422838035,2123.1774140946013,RP,[0.001],0.1,0.01,4246.354828189203,200000.0,56.77914891738223,Verhulst2018,Verhulst2018,40.0,40.0,30.0,5.81864186377367,none
